source,API,KI,relevant-groundtruth,relevance
SO,DateTime,"How to get the current date and time of your timezone in Java? 

I have my app hosted in a London Server. I am in Madrid, Spain. So the timezone is -2 hours. 

How can I obtain the current date / time with my time zone.
    
    
    Date curr_date = new Date(System.currentTimeMillis());
    

e.g. 
    
    
    Date curr_date = new Date(System.currentTimeMillis(""MAD_TIMEZONE""));
    

### With Joda-Time
    
    
    DateTimeZone zone = DateTimeZone.forID(""Europe/Madrid"");
    DateTime dt = new DateTime(zone);
    int day = dt.getDayOfMonth();
    int year = dt.getYear();
    int month = dt.getMonthOfYear();
    int hours = dt.getHourOfDay();
    int minutes = dt.getMinuteOfHour();
    

`Date` is always UTC-based... or time-zone neutral, depending on how you want to view it. A `Date` only represents a point in time; it is independent of time zone, just a number of milliseconds since the Unix epoch. There's no notion of a ""local instance of `Date`."" Use `Date` in conjunction with `Calendar` and/or `TimeZone.getDefault()` to use a ""local"" time zone. Use `TimeZone.getTimeZone(""Europe/Madrid"")` to get the Madrid time zone.

... or use Joda Time, which tends to make the whole thing clearer, IMO. In Joda Time you'd use a `DateTime` value, which is an instant in time in a particular calendar system and time zone.

In Java 8 you'd use `java.time.ZonedDateTime`, which is the Java 8 equivalent of Joda Time's `DateTime`.",1,1
SO,Instant,"How to get the current date and time of your timezone in Java? 

I have my app hosted in a London Server. I am in Madrid, Spain. So the timezone is -2 hours. 

How can I obtain the current date / time with my time zone.
    
    
    Date curr_date = new Date(System.currentTimeMillis());
    

e.g. 
    
    
    Date curr_date = new Date(System.currentTimeMillis(""MAD_TIMEZONE""));
    

### With Joda-Time
    
    
    DateTimeZone zone = DateTimeZone.forID(""Europe/Madrid"");
    DateTime dt = new DateTime(zone);
    int day = dt.getDayOfMonth();
    int year = dt.getYear();
    int month = dt.getMonthOfYear();
    int hours = dt.getHourOfDay();
    int minutes = dt.getMinuteOfHour();
    

`Date` is always UTC-based... or time-zone neutral, depending on how you want to view it. A `Date` only represents a point in time; it is independent of time zone, just a number of milliseconds since the Unix epoch. There's no notion of a ""local instance of `Date`."" Use `Date` in conjunction with `Calendar` and/or `TimeZone.getDefault()` to use a ""local"" time zone. Use `TimeZone.getTimeZone(""Europe/Madrid"")` to get the Madrid time zone.

... or use Joda Time, which tends to make the whole thing clearer, IMO. In Joda Time you'd use a `DateTime` value, which is an instant in time in a particular calendar system and time zone.

In Java 8 you'd use `java.time.ZonedDateTime`, which is the Java 8 equivalent of Joda Time's `DateTime`.",1,1
SO,ReadableInstant,"Joda Time LocalTime of 24:00 end-of-day 

We're creating a scheduling application and we need to represent someone's available schedule during the day, regardless of what time zone they are in. Taking a cue from Joda Time's Interval, which represents an interval in absolute time between two instances (start inclusive, end exclusive), we created a LocalInterval. The LocalInterval is made up of two LocalTimes (start inclusive, end exclusive), and we even made a handy class for persisting this in Hibernate.

For example, if someone is available from 1:00pm to 5:00pm, we would create:
    
    
    new LocalInterval(new LocalTime(13, 0), new LocalTime(17, 0));
    

So far so good---until someone wants to be available from 11:00pm until midnight on some day. Since the end of an interval is exclusive, this should be easily represented as such:
    
    
    new LocalInterval(new LocalTime(23, 0), new LocalTime(24, 0));
    

Ack! No go. This throws an exception, because LocalTime cannot hold any hour greater than 23.

This seems like a design flaw to me---Joda didn't consider that someone may want a LocalTime that represents a non-inclusive endpoint.

This is really frustrating, as it blows a hole in what was otherwise a very elegant model that we created.

What are my options---other than forking Joda and taking out the check for hour 24? (No, I don't like the option of using a dummy value---say 23:59:59---to represent 24:00.)

Update: To those who keep saying that there is no such thing as 24:00, here's a quote from ISO 8601-2004 4.2.3 Notes 2,3: ""The end of one calendar day [24:00] coincides with [00:00] at the start of the next calendar day ..."" and ""Representations where [hh] has the value [24] are only preferred to represent the end of a time interval ....""

The solution we finally went with was to use 00:00 as a stand-in for 24:00, with logic throughout the class and the rest of the application to interpret this local value. This is a true kludge, but it's the least intrusive and most elegant thing I could come up with.

First, the LocalTimeInterval class keeps an internal flag of whether the interval endpoint is end-of-day midnight (24:00). This flag will only be true if the end time is 00:00 (equal to LocalTime.MIDNIGHT).
    
    
    /**
    * @return Whether the end of the day is {@link LocalTime#MIDNIGHT} and this should be considered midnight of the
    * following day.
    */
    public boolean isEndOfDay()
    {
    return isEndOfDay;
    }
    

By default the constructor considers 00:00 to be beginning-of-day, but there is an alternate constructor for manually creating an interval that goes all day:
    
    
    public LocalTimeInterval(final LocalTime start, final LocalTime end, final boolean considerMidnightEndOfDay)
    {
    ...
    this.isEndOfDay = considerMidnightEndOfDay && LocalTime.MIDNIGHT.equals(end);
    }
    

There is a reason why this constructor doesn't just have a start time and an ""is end-of-day"" flag: when used with a UI with a drop-down list of times, we don't know if the user will choose 00:00 (which is rendered as 24:00), but we know that as the drop-down list is for the end of the range, in our use case it means 24:00. (Although LocalTimeInterval allows empty intervals, we don't allow them in our application.)

Overlap checking requires special logic to take care of 24:00:
    
    
    public boolean overlaps(final LocalTimeInterval localInterval)
    {
    if (localInterval.isEndOfDay())
    {
    if (isEndOfDay())
    {
    return true;
    }
    return getEnd().isAfter(localInterval.getStart());
    }
    if (isEndOfDay())
    {
    return localInterval.getEnd().isAfter(getStart());
    }
    return localInterval.getEnd().isAfter(getStart()) && localInterval.getStart().isBefore(getEnd());
    }
    

Similarly, converting to an absolute Interval requires adding another day to the result if isEndOfDay() returns true. It is important that application code never constructs an Interval manually from a LocalTimeInterval's start and end values, as the end time may indicate end-of-day:
    
    
    public Interval toInterval(final ReadableInstant baseInstant)
    {
    final DateTime start = getStart().toDateTime(baseInstant);
    DateTime end = getEnd().toDateTime(baseInstant);
    if (isEndOfDay())
    {
    end = end.plusDays(1);
    }
    return new Interval(start, end);
    }
    

When persisting LocalTimeInterval in the database, we were able to make the kludge totally transparent, as Hibernate and SQL have no 24:00 restriction (and indeed have no concept of LocalTime anyway). If isEndOfDay() returns true, our PersistentLocalTimeIntervalAsTime implementation stores and retrieves a true time value of 24:00:
    
    
     ...
    final Time startTime = (Time) Hibernate.TIME.nullSafeGet(resultSet, names[0]);
    final Time endTime = (Time) Hibernate.TIME.nullSafeGet(resultSet, names[1]);
    ...
    final LocalTime start = new LocalTime(startTime, DateTimeZone.UTC);
    if (endTime.equals(TIME_2400))
    {
    return new LocalTimeInterval(start, LocalTime.MIDNIGHT, true);
    }
    return new LocalTimeInterval(start, new LocalTime(endTime, DateTimeZone.UTC));
    

and
    
    
     final Time startTime = asTime(localTimeInterval.getStart());
    final Time endTime = localTimeInterval.isEndOfDay() ? TIME_2400 : asTime(localTimeInterval.getEnd());
    Hibernate.TIME.nullSafeSet(statement, startTime, index);
    Hibernate.TIME.nullSafeSet(statement, endTime, index + 1);
    

It's sad that we had to write a workaround in the first place; this is the best I could do.",1,1
SO,DateTime,"How do you get the date/time range for ""today"" using the Joda date/time library in Java? 

Assuming this is how you get the current time in Joda time:
    
    
    DateTime now = new DateTime();
    

How do you calculate values for the variables `dateTimeAtStartOfToday` and `dateTimeAtEndOfToday`?

What I'm trying to do is generate some SQL to do a lookup of all transactions that have occurred between the `startOfToday` and `endOfToday`.

I would use:
    
    
    LocalDate today = now.toLocalDate();
    LocalDate tomorrow = today.plusDays(1);
    DateTime startOfToday = today.toDateTimeAtStartOfDay(now.getZone());
    DateTime startOfTomorrow = tomorrow.toDateTimeAtStartOfDay(now.getZone());
    

Then check if `startOfToday <= time < startOfTomorrow` for any particular time.

Of course, it partly depends on exactly what's stored in the database - and what time zone you're interested in.",1,1
SO,DateTime,"How to calculate difference ONLY in months using Java's Joda API 

I am writing a program that is supposed to just calculate the months between 2 given dates and return the value to the program. For instance, if I have to calculate the number of months between 1 April and 30 June (which is a quarter, 3 months), and I use the following code: 
    
    
     DateTime start = new DateTime().withDate(2011, 4, 1);
    DateTime end = new DateTime().withDate(2011, 6, 30);
    Months mt = Months.monthsBetween(start, end);
    int monthDiff = mt.getMonths();
    

Using this, I am still getting ""2"" as the number of months, whereas it is actually ""3"" months. This is an example of what I want. I am only calculating the number of months (i.e. from 1st of the start month t the last date of the end month) and I dont need additional analysis like days, weeks, hours, etc. How do I achieve this?

Any help would be appreciated. 
    
    
    DateTime start = new DateTime().withDate(2011, 4, 1);
    DateTime end = new DateTime().withDate(2011, 6, 30);
    Period p = new Period(start, end, PeriodType.months().withDaysRemoved());
    int months = p.getMonths() + 1;
    

You need the `withDaysRemoved()` part to ensure that adding one to the number of months works. Otherwise two dates such as `2011-04-15` and `2011-06-14` would still result in the answer being `2`",1,1
SO,ReadableInstant,"How to subtract two joda datetimes? 

I know this isn't ""the way it's supposed to work"", but still: If you have two DateTime objects, what's a good way to subtract them? Convert them to Date objects?
    
    
    DateTime start = new DateTime();
    System.out.println(start + "" - doing some stuff"");
    // do stuff
    DateTime end = new DateTime();
    Period diff = // end - start ???
    System.out.println(end + "" - doing some stuff took diff seconds"");
    

Period has a constructor that takes two `ReadableInstant` instances:
    
    
    Period diff = new Period(start, end);
    

(`ReadableInstant` is an interface implemented by `DateTime`, as well as other classes.)",1,1
SO,DateTime,"In joda time how to convert time zone without changing time 

I am getting UTC timestamp from database which is I am setting into a JodaTime `DateTime` instance
    
    
    DateTime dt = new DateTime(timestamp.getTime());
    

It stores the time perfectly say `10:00 AM` but with local time zone. E.g, I am in IST time zone which is +5:30 from UTC

I have tried lots of things for changing the timezone but with every thing it changes the time from `10:00 AM` to something else by using +5:30 difference

Is there any way by which I can change TimeZone without affecting current time

EDIT: If my current time is:
    
    
    2013-09-25 11:27:34 AM UTC
    

Following is the result when I use this `new DateTime(timestamp.getTime());`
    
    
    2013-09-25 11:27:34 AM Asia/Kolkata
    

And following is the result when I use this `new DateTime(timestamp.getTime(), DateTimeZone.UTC)`;
    
    
    2013-09-25 05:57:34 AM UTC
    

You can use class LocalDateTime
    
    
    LocalDateTime dt = new LocalDateTime(t.getTime()); 
    

and convert `LocalDateTime` to `DateTime`
    
    
    DateTime dt = new LocalDateTime(timestamp.getTime()).toDateTime(DateTimeZone.UTC); 
    

Joda `DateTime` treats any time in millis like ""millis since 1970y in current time zone"". So, when you create `DateTime` instance, it is created with current time zone.",1,1
SO,year(),"Joda Time minusweeks() and plusweeks() over year break 2014/2015 breakdown? 

I may be missing something here, but I can't seem to find an explanation in Joda Time's documentation or really anywhere. It seems like Joda Time breaks down when calculating weeks when adding and subtracting weeks when you go from one year to the next.

Can anyone explain why this happens and how to properly do this?

I get the following output from my code below:
    
    
    2015-01-08 - This is the current week
    2015-01-01 - Removed one week
    2014-12-25 - Removed one week
    2014-12-17 - Removed one week //for some reason, program backed 8 days here
    2014-12-10 - Removed one week
    2014-12-17 - Added one week
    2014-12-24 - Added one week
    2014-12-31 - Added one week
    2014-01-08 - Added one week //for some reason, program forwarded 8 days here, but it did not forward to 2015.
    

Original Code
    
    
    import org.joda.time.*;
    public class WonkyWeeks {
    int year;
    int week;
    public void backUpOneWeek() {
    LocalDate today = new LocalDate()
    .withDayOfWeek(4)
    .withWeekOfWeekyear(week)
    .withYear(year);
    LocalDate lastWeek = today.minusWeeks(1);
    week = lastWeek.getWeekOfWeekyear();
    year = lastWeek.getYear();
    System.out.println(lastWeek+"" - Removed one week"");
    }
    public void forwardOneWeek() {
    LocalDate today = new LocalDate()
    .withDayOfWeek(4)
    .withWeekOfWeekyear(week)
    .withYear(year);
    LocalDate nextWeek = today.plusWeeks(1);
    week = nextWeek.getWeekOfWeekyear();
    year = nextWeek.getYear();
    System.out.println(nextWeek+"" - Added one week"");
    }
    public void thisWeek() {
    LocalDate thisWeek = new LocalDate()
    .withDayOfWeek(4)
    .withWeekOfWeekyear(week)
    .withYear(year);
    System.out.println(thisWeek+"" - This is the current week"");
    }
    public static void main(String[] args) {
    WonkyWeeks wonky = new WonkyWeeks();
    wonky.week = 2;
    wonky.year = 2015;
    wonky.thisWeek();
    wonky.backUpOneWeek();
    wonky.backUpOneWeek();
    wonky.backUpOneWeek();
    wonky.backUpOneWeek();
    wonky.forwardOneWeek();
    wonky.forwardOneWeek();
    wonky.forwardOneWeek();
    wonky.forwardOneWeek();
    }
    }
    

After further testing, it gets even more confusing. I tried just adding and removing days instead of weeks and for some reason it seems to skip dates.

Output:
    
    
    2015-01-08 - This is the current week
    2015-01-07 - removed one day
    2015-01-06 - removed one day
    2015-01-05 - removed one day
    2015-01-04 - removed one day
    2015-01-03 - removed one day
    2015-01-02 - removed one day
    2015-01-01 - Removed one full week
    2014-12-31 - removed one day
    2014-12-30 - removed one day
    2014-12-29 - removed one day
    2014-12-28 - removed one day
    2014-12-27 - removed one day
    2014-12-26 - removed one day
    2014-12-25 - Removed one full week
    2014-12-23 - removed one day // For some reason, it skipped 2014-12-24?
    2014-12-22 - removed one day
    2014-12-21 - removed one day
    2014-12-20 - removed one day
    2014-12-19 - removed one day
    2014-12-18 - removed one day
    2014-12-17 - Removed one full week
    2014-12-16 - removed one day
    2014-12-15 - removed one day
    2014-12-14 - removed one day
    2014-12-13 - removed one day
    2014-12-12 - removed one day
    2014-12-11 - removed one day
    2014-12-10 - Removed one full week
    2014-12-11 - added one day
    2014-12-12 - added one day
    2014-12-13 - added one day
    2014-12-14 - added one day
    2014-12-15 - added one day
    2014-12-16 - added one day
    2014-12-17 - Added one week
    2014-12-18 - added one day
    2014-12-19 - added one day
    2014-12-20 - added one day
    2014-12-21 - added one day
    2014-12-22 - added one day
    2014-12-23 - added one day
    2014-12-24 - Added one week
    2014-12-25 - added one day
    2014-12-26 - added one day
    2014-12-27 - added one day
    2014-12-28 - added one day
    2014-12-29 - added one day
    2014-12-30 - added one day
    2014-12-31 - Added one week
    2014-01-02 - added one day //Skipped 2014-01-01 and did not forward to 2015
    2014-01-03 - added one day
    2014-01-04 - added one day
    2014-01-05 - added one day
    2014-01-06 - added one day
    2014-01-07 - added one day
    2014-01-08 - Added one week
    

Further testing code
    
    
    import org.joda.time.*;
    public class WonkyWeeks {
    int year;
    int week;
    public void backUpOneWeek() {
    LocalDate today = new LocalDate()
    .withDayOfWeek(4)
    .withWeekOfWeekyear(week)
    .withYear(year);
    LocalDate adayago = today.minusDays(1);
    System.out.println(adayago+"" - removed one day"");
    LocalDate twodaysago = adayago.minusDays(1);
    System.out.println(twodaysago+"" - removed one day"");
    LocalDate threedaysago = twodaysago.minusDays(1);
    System.out.println(threedaysago+"" - removed one day"");
    LocalDate fourdaysago = threedaysago.minusDays(1);
    System.out.println(fourdaysago+"" - removed one day"");
    LocalDate fivedaysago = fourdaysago.minusDays(1);
    System.out.println(fivedaysago+"" - removed one day"");
    LocalDate sixdaysago = fivedaysago.minusDays(1);
    System.out.println(sixdaysago+"" - removed one day"");
    LocalDate lastWeek = sixdaysago.minusDays(1);
    week = lastWeek.getWeekOfWeekyear();
    year = lastWeek.getYear();
    System.out.println(lastWeek+"" - Removed one full week"");
    }
    public void forwardOneWeek() {
    LocalDate today = new LocalDate()
    .withDayOfWeek(4)
    .withWeekOfWeekyear(week)
    .withYear(year);
    LocalDate tomorrow = today.plusDays(1);
    System.out.println(tomorrow+"" - added one day"");
    LocalDate dayAfterTomorrow = tomorrow.plusDays(1);
    System.out.println(dayAfterTomorrow+"" - added one day"");
    LocalDate threeDaysFromNow = dayAfterTomorrow.plusDays(1);
    System.out.println(threeDaysFromNow+"" - added one day"");
    LocalDate fourDaysFromNow = threeDaysFromNow.plusDays(1);
    System.out.println(fourDaysFromNow+"" - added one day"");
    LocalDate fiveDaysFromNow = fourDaysFromNow.plusDays(1);
    System.out.println(fiveDaysFromNow+"" - added one day"");
    LocalDate sixDaysFromNow = fiveDaysFromNow.plusDays(1);
    System.out.println(sixDaysFromNow+"" - added one day"");
    LocalDate nextWeek = sixDaysFromNow.plusDays(1);
    week = nextWeek.getWeekOfWeekyear();
    year = nextWeek.getYear();
    System.out.println(nextWeek+"" - Added one week"");
    }
    public void thisWeek() {
    LocalDate thisWeek = new LocalDate()
    .withDayOfWeek(4)
    .withWeekOfWeekyear(week)
    .withYear(year);
    System.out.println(thisWeek+"" - This is the current week"");
    }
    public static void main(String[] args) {
    WonkyWeeks wonky = new WonkyWeeks();
    wonky.week = 2;
    wonky.year = 2015;
    wonky.thisWeek();
    wonky.backUpOneWeek();
    wonky.backUpOneWeek();
    wonky.backUpOneWeek();
    wonky.backUpOneWeek();
    wonky.forwardOneWeek();
    wonky.forwardOneWeek();
    wonky.forwardOneWeek();
    wonky.forwardOneWeek();
    }
    }
    

I don't see any problem with your logic. After trying different scenarios and debugging some code, I believe it's due to the behaviour of `dayOfWeek` for different years.

This may not provide the complete answer to your problem but might give you a hint.

You are passing `4th` day of the week always irrespective of the year. But it represent different day depend upon year. For example, if you pass `day as 4, week 1 and year 2013` and then call `getDayOfWeek()`, you will get the value as `2` (Tuesday).

Similarly for 2014 the `getDayOfWeek()` will return `3` (Wednesday) and for 2015 it will be `4` (Thursday).

So for year 2015, Day Of Week 4 represent `Thursday` where as for 2014 it represents `Wednesday`.

Let's look at your use case now: 

  * 2015-01-08 - This is the current week (week 2nd, day 4th - Thursday).
  * 2015-01-01 - Removed one week - (week 1st, day 4th - Thursday).
  * 2014-12-25 - Removed one week - (week 4th, day 4th - Thursday).
  * 2014-12-17 - Removed one week - (Correction made here - week 3rd, day 4th - Wedneday).



I'm not sure why the correction is not made on `2014-12-25`.",0,1
TU,Instant,"## Instants

The most frequently used concept in Joda-Time is that of the `Instant`. An Instant is defined as a moment in the datetime continuum specified as a number of milliseconds from 1970-01-01T00:00Z. This definition of milliseconds is consistent with that of the JDK in `Date` or `Calendar`. Interoperating between the two APIs is thus simple. 

Within Joda-Time an instant is represented by the `ReadableInstant` interface. The main implementation of this interface, and the class that the average API user needs to be most familiar with, is `DateTime`. DateTime is immutable - and once created the values do not change. Thus, this class can safely be passed around and used in multiple threads without synchronization. 

The millisecond instant can be converted to any date time field using a Chronology. To assist with this, methods are provided on `DateTime` that act as getters for the most common date and time fields. 

We discuss the chronology concept a litte further on in this overview. 

A companion mutable class to `DateTime` is `MutableDateTime`. Objects of this class can be modified and are not thread-safe. 

Other implementations of `ReadableInstant` include `Instant` and `DateMidnight`.",1,1
TU,Duration,"## Durations

A `Duration` in Joda-Time represents a duration of time measured in milliseconds. The duration is often obtained from an interval. 

`Durations` are a very simple concept, and the implementation is also simple. They have no chronology or time zone, and consist solely of the millisecond duration. 

`Durations` can be added to an instant, or to either end of an interval to change those objects. In datetime maths you could say: 
    
    
          instant  +  duration  =  instant
    

Currently, there is only one implementation of the `ReadableDuration` interface: `Duration`.",1,1
