fragment,api,relevance
"Converting List to List

I have a list of integers, `List` and I'd like to convert all the integer objects into Strings, thus finishing up with a new `List`.

Naturally, I could create a new `List` and loop through the list calling `String.valueOf()` for each integer, but I was wondering if there was a better (read: more automatic) way of doing it?

As far as I know, iterate and instantiate is the only way to do this. Something like (for others potential help, since I'm sure you know how to do this):
    
    
    List oldList = ...
    /* Specify the size of the list up front to prevent resizing. */
    List newList = new ArrayList(oldList.size()) 
    for (Integer myInt : oldList) { 
    newList.add(String.valueOf(myInt)); 
    }",List,1
"Converting List to List

I have a list of integers, `List` and I'd like to convert all the integer objects into Strings, thus finishing up with a new `List`.

Naturally, I could create a new `List` and loop through the list calling `String.valueOf()` for each integer, but I was wondering if there was a better (read: more automatic) way of doing it?

As far as I know, iterate and instantiate is the only way to do this. Something like (for others potential help, since I'm sure you know how to do this):
    
    
    List oldList = ...
    /* Specify the size of the list up front to prevent resizing. */
    List newList = new ArrayList(oldList.size()) 
    for (Integer myInt : oldList) { 
    newList.add(String.valueOf(myInt)); 
    }",String,1
"Converting List to List

I have a list of integers, `List` and I'd like to convert all the integer objects into Strings, thus finishing up with a new `List`.

Naturally, I could create a new `List` and loop through the list calling `String.valueOf()` for each integer, but I was wondering if there was a better (read: more automatic) way of doing it?

As far as I know, iterate and instantiate is the only way to do this. Something like (for others potential help, since I'm sure you know how to do this):
    
    
    List oldList = ...
    /* Specify the size of the list up front to prevent resizing. */
    List newList = new ArrayList(oldList.size()) 
    for (Integer myInt : oldList) { 
    newList.add(String.valueOf(myInt)); 
    }",ArrayList,1
"Converting List to List

I have a list of integers, `List` and I'd like to convert all the integer objects into Strings, thus finishing up with a new `List`.

Naturally, I could create a new `List` and loop through the list calling `String.valueOf()` for each integer, but I was wondering if there was a better (read: more automatic) way of doing it?

Just for fun, a solution using the jsr166y fork-join framework that should in JDK7.
    
    
    import java.util.concurrent.forkjoin.*;
    private final ForkJoinExecutor executor = new ForkJoinPool();
    ...
    List ints = ...;
    List strs =
    ParallelArray.create(ints.size(), Integer.class, executor)
    .withMapping(new Ops.Op() { public String op(Integer i) {
    return String.valueOf(i);
    }})
    .all()
    .asList();
    

(Disclaimer: Not compiled. Spec is not finalised. Etc.)

Unlikely to be in JDK7 is a bit of type inference and syntactical sugar to make that withMapping call less verbose:
    
    
     .withMapping(#(Integer i) String.valueOf(i))",List,0
"Converting List to List

I have a list of integers, `List` and I'd like to convert all the integer objects into Strings, thus finishing up with a new `List`.

Naturally, I could create a new `List` and loop through the list calling `String.valueOf()` for each integer, but I was wondering if there was a better (read: more automatic) way of doing it?

Just for fun, a solution using the jsr166y fork-join framework that should in JDK7.
    
    
    import java.util.concurrent.forkjoin.*;
    private final ForkJoinExecutor executor = new ForkJoinPool();
    ...
    List ints = ...;
    List strs =
    ParallelArray.create(ints.size(), Integer.class, executor)
    .withMapping(new Ops.Op() { public String op(Integer i) {
    return String.valueOf(i);
    }})
    .all()
    .asList();
    

(Disclaimer: Not compiled. Spec is not finalised. Etc.)

Unlikely to be in JDK7 is a bit of type inference and syntactical sugar to make that withMapping call less verbose:
    
    
     .withMapping(#(Integer i) String.valueOf(i))",String,0
"Converting List to List

I have a list of integers, `List` and I'd like to convert all the integer objects into Strings, thus finishing up with a new `List`.

Naturally, I could create a new `List` and loop through the list calling `String.valueOf()` for each integer, but I was wondering if there was a better (read: more automatic) way of doing it?

> I didn't see any solution which is following the principal of space complexity. If list of integers has large number of elements then it's big problem.
    
    
    It will be really good to remove the integer from the List and free
    the space, once it's added to List.
    

We can use iterator to achieve the same. 
    
    
     List oldList = new ArrayList<>();
    oldList.add(12);
    oldList.add(14);
    .......
    .......
    List newList = new ArrayList(oldList.size());
    Iterator itr = oldList.iterator();
    while(itr.hasNext()){
    newList.add(itr.next().toString());
    itr.remove();
    }",Iterator,0
"Converting List to List

I have a list of integers, `List` and I'd like to convert all the integer objects into Strings, thus finishing up with a new `List`.

Naturally, I could create a new `List` and loop through the list calling `String.valueOf()` for each integer, but I was wondering if there was a better (read: more automatic) way of doing it?

> I didn't see any solution which is following the principal of space complexity. If list of integers has large number of elements then it's big problem.
    
    
    It will be really good to remove the integer from the List and free
    the space, once it's added to List.
    

We can use iterator to achieve the same. 
    
    
     List oldList = new ArrayList<>();
    oldList.add(12);
    oldList.add(14);
    .......
    .......
    List newList = new ArrayList(oldList.size());
    Iterator itr = oldList.iterator();
    while(itr.hasNext()){
    newList.add(itr.next().toString());
    itr.remove();
    }",ArrayList,0
"shortcut for creating a Map from a List in groovy? 

I'd like some sorthand for this:
    
    
    Map rowToMap(row) {
    def rowMap = [:];
    row.columns.each{ rowMap[it.name] = it.val }
    return rowMap;
    }
    

given the way the GDK stuff is, I'd expect to be able to do something like:
    
    
    Map rowToMap(row) {
    row.columns.collectMap{ [it.name,it.val] }
    }
    

but I haven't seen anything in the docs... am I missing something? or am I just way too lazy?

I've recently came across the need to do exactly that: converting a list into a map. This question was posted before Groovy version 1.7.9 came out, so the method `collectEntries` didn't exist yet. It works exactly as the `collectMap` method that was proposed:
    
    
    Map rowToMap(row) {
    row.columns.collectEntries{[it.name, it.val]}
    }
    

If for some reason you are stuck with an older Groovy version, the `inject` method can also be used (as proposed here). This is a slightly modified version that takes only one expression inside the closure (just for the sake of character saving!):
    
    
    Map rowToMap(row) {
    row.columns.inject([:]) {map, col -> map << [(col.name): col.val]}
    }
    

The `+` operator can also be used instead of the `<<`.",Map,1
"shortcut for creating a Map from a List in groovy? 

I'd like some sorthand for this:
    
    
    Map rowToMap(row) {
    def rowMap = [:];
    row.columns.each{ rowMap[it.name] = it.val }
    return rowMap;
    }
    

given the way the GDK stuff is, I'd expect to be able to do something like:
    
    
    Map rowToMap(row) {
    row.columns.collectMap{ [it.name,it.val] }
    }
    

but I haven't seen anything in the docs... am I missing something? or am I just way too lazy?

What about something like this?
    
    
    // setup
    class Pair { 
    String k; 
    String v; 
    public Pair(def k, def v) { this.k = k ; this.v = v; }
    }
    def list = [ new Pair('a', 'b'), new Pair('c', 'd') ]
    // the idea
    def map = [:]
    list.each{ it -> map.putAt(it.k, it.v) }
    // verify
    println map['c']",String,0
"Does C# have a way of giving me an immutable Dictionary? 

Is there anything built into the core C# libraries that can give me an immutable Dictionary?

Something along the lines of Java's:
    
    
    Collections.unmodifiableMap(myMap);
    

And just to clarify, I am not looking to stop the keys / values themselves from being changed, just the structure of the Dictionary. I want something that fails fast and loud if any of IDictionary's mutator methods are called (`Add, Remove, Clear`).

No, but a wrapper is rather trivial:
    
    
    public class ReadOnlyDictionary : IDictionary
    {
    IDictionary _dict;
    public ReadOnlyDictionary(IDictionary backingDict)
    {
    _dict = backingDict;
    }
    public void Add(TKey key, TValue value)
    {
    throw new InvalidOperationException();
    }
    public bool ContainsKey(TKey key)
    {
    return _dict.ContainsKey(key);
    }
    public ICollection Keys
    {
    get { return _dict.Keys; }
    }
    public bool Remove(TKey key)
    {
    throw new InvalidOperationException();
    }
    public bool TryGetValue(TKey key, out TValue value)
    {
    return _dict.TryGetValue(key, out value);
    }
    public ICollection Values
    {
    get { return _dict.Values; }
    }
    public TValue this[TKey key]
    {
    get { return _dict[key]; }
    set { throw new InvalidOperationException(); }
    }
    public void Add(KeyValuePair item)
    {
    throw new InvalidOperationException();
    }
    public void Clear()
    {
    throw new InvalidOperationException();
    }
    public bool Contains(KeyValuePair item)
    {
    return _dict.Contains(item);
    }
    public void CopyTo(KeyValuePair[] array, int arrayIndex)
    {
    _dict.CopyTo(array, arrayIndex);
    }
    public int Count
    {
    get { return _dict.Count; }
    }
    public bool IsReadOnly
    {
    get { return true; }
    }
    public bool Remove(KeyValuePair item)
    {
    throw new InvalidOperationException();
    }
    public IEnumerator> GetEnumerator()
    {
    return _dict.GetEnumerator();
    }
    System.Collections.IEnumerator 
    System.Collections.IEnumerable.GetEnumerator()
    {
    return ((System.Collections.IEnumerable)_dict).GetEnumerator();
    }
    }
    

Obviously, you can change the this[] setter above if you want to allow modifying values.",Collections,1
